Japanese,English
やめる,"resign, retire"
じしょ,dictionary
かいしゃ,"company, corporation"
たいしかん,embassy
ちかてつ,subway
つうきん,"commuting, commutation"
おじ,uncle
つとめる,"serve, hold a job"
じむしょ,"office, one's place of business"
じむしつ,office
じゅうらい,"former, old"
めいれい,"command, order"
いとこ,cousin
せいせき,"results, record"
まあまあ,"OK, not bad, average"
じょうほう,information
あつめる,"collect, gather"
あつまる,"gather, be collected"
かっこく,every country
しょうがつ,New Year
さいよう,employment
きゅうりょう,"salary, pay"
まいねん,every year
そつぎょう,graduation
こうとうがっこう,senior high school
うける,"receive, accept"
じどうしゃ,automobile
しゅうしょく,finding employment
たいいん,discharge from a hospital
けいやく,"contract, agreement"
こうしょう,"negotiation, bargaining"
かんけい,"relation, relationship"
スーパーマーケット,supermarket
さんか,participation
ぞうか,"increase, gain"
かこう,"processing, manufacturing"
いかが,"how, what"
くらべる,"compare, contrast"
ひょうか,"evaluation, appraisal"
たいしょう,"target, object"
しゅうり,"repair, mending"
のりかえる,"change, transfer"
トイレットペーパー,toilet paper
のりかえ,"change, transfer"
かえる,"exchange, convert"
きがえる,change clothes
そなえる,"provide for, furnish"
やぶる,"tear, break through, breach"
やぶれる,"tear, rip open"
きかい,machine
カメラ,camera
こわす,"break, destroy, smash"
こわれる,"break, break down, get out of order"
りっぱ,"fine, excellent"
かんり,"management, administration"
じけん,"affair, case"
たいほ,"arrest, capture"
せんそう,"war, battle"
すてる,"discard, abandon"
スケート,"skate, skates"
ボート,boat
でんち,"electric cell, battery"
ふかい,"deep, profound, intimate"
ふかさ,"depth, profundity"
あさい,"shallow, superficial"
なにか,"something, some"
われる,"crack, be divided, split"
およぐ,swim
たくさん,"in large quantity, plenty"
はやる,"be in fashion, be popular"
まず,first
あらう,wash
したぎ,underwear
せんめんじょ,"washroom, bathroom"
あぶら,"oil, animal oil"
しずむ,"sink, set"
ひさしぶり,after a long time
こおり,ice
ひえる,"cool down, feel chilly"
ひやす,"cool, chill"
さめる,"cool off, subside"
こおる,"freeze, congeal"
こしょう,"malfunction, fault, breakdown"
セーター,"sweater, pullover"
れいぞうこ,refrigerator
すずしい,"cool, refreshing"
ズボン,"trousers, pants"
よごす,"make dirty, soil"
よごれる,"become dirty, become defiled"
けしき,"scenery, landscape"
えいきょう,"influence, effect"
ひかる,"shine, emit light"
ふとる,"grow fat, fatten"
ゆび,"finger, toe"
にし,"west, western"
ぎらぎら,"dazzling, glaring, blinding"
そんざい,"existence, being"
はっけん,"discovery, revelation"
きらきら,"shining, sparkling"
ほし,"star, planet, spot"
ゆうべ,"last night, last evening"
まわる,"turn round, go round, detour"
うまい,good at
やきゅう,baseball
あいだ,interval
くも,cloud
くもり,"cloudiness, cloudy weather"
さくねん,last year
けんきゅう,"research, study"
じしん,earthquake
ガス,gas
ふるえる,"tremble, quiver, shake"
ゆれる,"shake, sway, rock"
ぐらぐら,wobble
じんじゃ,Shinto shrine
ひみつ,"secret, privacy"
じょうけん,"condition, item"
きそく,"rule, regulation"
あつさ,"heat, summer heat"
さむさ,"coldness, cold"
としより,"old person, older councilor"
せいき,century
けんせつ,"construction, building"
ちゅうしん,"center, middle"
たてもの,"building, structure"
たつ,"be built, be erected"
ばんち,"lot number, address"
こうせい,organization
こうぞう,"construction, structure"
わたる,"cross, ford, go across"
はし,bridge
ぶつかる,"hit, bump into"
はしら,"pillar, prop"
ひろさ,"area, extent"
しんぶん,newspaper
いち,"position, place"
りこん,divorce
システム,system
ばすてい,bus stop
たいかい,"mass meeting, tournament"
しゅうへん,"environs, circumference"
たんぼ,rice field
きこえる,"hear, be heard"
きいろ,yellow
よこ,"side, width across"
よこがき,horizontal writing
だんかい,stage
はんだん,"judgment, decision"
きじゅん,"standard, criterion"
ことわる,"refuse, turn down"
おうだんほどう,"pedestrian crossing, crosswalk"
おおはば,"drastically, substantially"
ねんかん,period of one year
おとずれる,"visit, call on"
たずねる,"visit, call on"
れいぼう,air conditioning
だんぼう,heating
ぶんぼうぐ,"stationery, writing materials"
メニュー,"menu, bill of fare"
しょこく,various countries
たいさく,"measure, action"
もちろん,"of course, no doubt"
しゅくだい,homework
ランチ,lunch
ふやす,"increase, add"
みどりいろ,green
まち,"town, machi, city quarter"
ぼうえき,"trade, commerce"
ゆにゅう,import
ゆしゅつ,export
ゆびわ,ring
たいせつ,"important, valuable"
おうふく,"going and returning, round trip"
ふくしゅう,review
くりかえす,repeat
こくない,"domestic, internal"
ひろがる,"spread out, reach"
た,"others, other things"
グラス,glass
りゅうがく,studying abroad
ていりゅうじょ,"stop, station"
かきとめ,registered mail
しぜん,nature
まもる,"protect, observe"
しぜん,"natural, naturally"
やくそく,"promise, vow"
るす,not at home
しゅじん,"master, husband"
じたく,"one's house, one's home"
おたく,"your home, you, fan, geek"
たいへん,"awful, serious"
こうつうじこ,traffic accident
ベッド,bed
ぐっすり,soundly
ひるね,"siesta, nap"
じゅうたく,"housing, residence"
しずか,"quiet, tranquil"
ひま,"free time, spare time"
しゅみ,"hobby, interest"
りょうほう,both
りょうがえ,"money changing, exchange of money"
かたみち,one way
うちがわ,"inside, interior"
パトカー,"police car, patrol car"
むこうがわ,other side
そとがわ,"exterior, outside"
ひだりがわ,left side
みぎがわ,right side
うら,"rear, reverse, inside"
うらがえす,"turn over, turn inside out"
しゅうかんし,weekly magazine
ちょうかん,morning edition
ゆうかん,evening edition
しょうせつ,"novel, story"
くわしい,"detailed, complete"
こまかい,"minute, elaborate"
みかん,"tangerine, mandarin orange"
こまか,"minute, elaborate"
つもる,"accumulate, get accumulated"
やく,"translation, rendering"
やくす,translate
けんとう,"consideration, inspection"
プログラム,program
つける,"attach, set, apply"
ナイロン,nylon
こちら,"here, this way"
うけつける,"receive, accept"
かたづける,"put in order, dispose of, do away with"
うけつけ,"receptionist, information office"
ちかづく,"approach, get acquainted"
リボン,ribbon
かたづく,"be put in order, be settled"
きをつける,"take care of, pay attention to"
きねんび,"memorial day, anniversary"
ざんねん,"regretful, disappointing"
ゆき,going
ぐたいてき,"concrete, specific"
たとえば,for example
れいぶん,"illustrative sentence, example"
れい,"example, precedent"
あまる,"remain over, be in excess"
のぞく,"rid of, exclude"
けずる,"grind down, trim, scale back"
やはり,"as expected, also, still"
ちこく,"tardiness, lateness"
ゆるい,"slack, loose"
すうじ,"figure, numeral"
くるしい,"painful, difficult"
にがい,"bitter, sour"
にがて,"person that is hard to deal with, weak point"
こまる,"be at a loss, in a jam, in trouble"
びんぼう,"poverty, destitution"
ジュース,"juice, soft drink"
ふこう,"unhappiness, misfortune, bereavement"
しあわせ,"happiness, good fortune"
くわえる,"add, include"
しょうしょう,"a little, a few"
しお,salt
しおからい,salty
ちょっと,"just a moment, just a little, easily"
さとう,sugar
きぼ,"scale, scope"
のうぎょう,agriculture
こい,"thick, concentrated, dark-colored"
うすい,"thin, weak, pale"
あじ,"taste, flavor"
あつい,"thick, bulky"
せまる,"press, close in on, be imminent"
ゴム,elastic
ぎょうしゃ,businessman
こえる,"go over, go across, go beyond"
ひっこし,moving
おいこす,"outrun, overtake"
じょうしょう,"ascension, rising"
たしか,"for sure, for certain"
かいさつぐち,"ticket barrier, wicket"
しつれい,"impoliteness, bad manners, I beg your parden/Goodbye"
おれい,"thanks, reward, return present"
どなた,who
あやまる,apologize
ちゅうしゃ,"injection, shot"
しゃいん,"staff member, employee"
さそう,"invite, ask out"
どうにゅう,introduction
どりょく,"endeavor, effort"
とうぜん,"natural, as a matter of course"
めったに,rarely
どくしん,"single life, celibacy"
かない,my wife
しょり,"management, process"
しょうかい,"introduction, presentation"
まねく,"invite, beckon, engage"
ソース,"sauce, Worcestershire sauce"
しょうたい,invitation
うまれる,"be born, come into existence"
ふうふ,"husband and wife, married couple"
ネックレス,necklace
ふたり,two persons
おくさん,"married lady, your wife"
としした,"younger, junior"
きょうそう,competition
ほうこう,"direction, course"
けんぶつ,"sightseeing, visit"
しらせる,"let know, inform"
みなさん,"everybody, ladies and gentlemen"
みなさま,"everyone, ladies and gentlemen"
けいえい,"management, operation"
だいとうりょう,president (of a country)
あいて,opponent
みらい,future
ぬすむ,"steal, rob"
だれか,someone
こくせき,"nationality, citizenship"
あい,love
かわいい,"cute, charming, sweet"
きせる,"dress, put on clothes"
こいびと,"lover, sweetheart"
プレゼント,"present, gift"
たんじょうび,birthday
ケーキ,cake
しゅくじつ,"holiday, festival day"
おいわい,celebrate
じつげん,"implementation, realization"
なく,"cry, weep"
なみだ,tear
こぼれる,"spill, overflow"
よろこぶ,"be happy, be delighted"
はずかしい,"shy, ashamed, disgraceful"
べんとう,"box lunch, picnic lunch"
たかさ,height
のぼる,"climb, mount, go up"
かんごふ,female nurse
うったえる,sue
まよう,"be perplexed, hesitate, get lost"
しめる,"occupy, hold"
ベルト,belt
めいわく,"trouble, annoyance"
ちいき,"region, area"
かつどう,activity
じゅうみん,"residents, dwellers"
きけん,"danger, dangerous"
せいけん,political power
おくる,"offer, give"
おくりもの,"present, gift"
あたえる,give
しきん,"funds, capital"
ちょきん,"savings, deposit"
まいつき,every month
あずかる,"receive on deposit, take charge of"
ぶんや,"field, sphere"
りょうり,"cooking, handling"
とくい,"one's forte, pride, customer"
ギター,guitar
りか,science
バレーボール,volleyball
もえる,"burn, undergo combustion"
やける,"burn, be scorched, be baked"
すきやき,sukiyaki
にく,"flesh, meat"
やく,"burn, bake, be envious"
かんぱい,a toast
かわかす,dry
しんかんせん,"Shinkansen, Bullet Train"
はやさ,speed
いき,going
すばらしい,"splendid, excellent"
かてい,"home, family"
はな,flower
さく,"bloom, blossom"
さくら,"cherry tree, cherry blossom"
ふく,"blow, play on a wind instrument"
まいにち,every day
かいがん,"seashore, coast"
あちこち,all over
うえる,"plant, raise"
にわ,"garden, court"
やね,roof
あつさ,thickness
こくばん,blackboard
けいじばん,"notice board, bulletin board"
チョーク,chalk
フォーク,fork
うし,"cattle, cow"
くさ,"grass, weed"
は,"leaf, needle"
えはがき,picture postcard
はがき,postcard
けいさつ,police
どうぞ,please
タクシー,"taxi, cab"
したしい,"intimate, familiar"
きゅうきゅうしゃ,ambulance
ウェートレス,waitress
すう,"inhale, suck"
たばこ,"tobacco, cigarette"
ふきゅう,"diffusion, spread"
しゅじゅつ,surgical operation
こうか,"effect, result"
い,stomach
わる,"divide, crack, split"
さら,"plate, counter for plates or helpings"
ち,blood
ないよう,contents
かいだん,"conversation, meeting"
はいけい,"background, scenery, setting"
じっさい,"truth, actual state"
かゆい,itchy
すべる,"slide, slip, flunk an examination"
ほね,"bone, frame, spirit"
けんこう,healthy
すいえい,swimming
めずらしい,"rare, precious"
ビデオ,video
とる,"photograph, shoot, film"
こっかい,"National Diet, parliament"
ふたたび,"again, a second time"
さらいねん,the year after next
さらいげつ,the month after next
さらいしゅう,the week after next
ほうそう,broadcasting
そうち,"equipment, device"
かな,"kana, Japanese syllabary"
おくりがな,kana suffix
かなしむ,"feel sad, lament"
あまり,(not) much
ながれる,"flow, pass, drift away"
ビール,"beer, lager"
びじゅつかん,art museum
びじん,beautiful woman
すいか,watermelon
はくぶつかん,museum
ハム,ham
かいさい,"holding (of an event), opening"
とくちょう,"distinctive feature, characteristic"
こんかい,this time
ゆるす,"permit, license, forgive"
めんきょしょう,license
のべる,"state orally, expound, mention"
しょくじ,"meal, dinner"
かわる,"substitute, be substituted for"
かたい,"stiff, tight"
きびしい,"strict, severe, intense"
きょうし,"teacher, instructor"
すすめる,"advance, promote"
もうける,"set up, establish"
じっけん,experiment
きょうじゅ,professor
まにあう,"be in time, answer the purpose, can do without"
つたえる,"convey, transmit, hand down"
いそがしい,"busy, occupied"
にげる,"escape, run away"
とり,"bird, poultry"
なる,"sound, ring, roar"
なく,"cry, chirp, meow"
めざましどけい,alarm clock
こえ,"voice, sound"
テープレコーダー,"tape recorder, cassette recorder"
たまご,egg
やる,give (to an inferior)
となり,"neighboring house, next seat"
ふる,"wave, shake, brandish"
たすける,"help, save"
ちゅうしゃじょう,parking area
さわぐ,"make a racket, mess around, make a fuss"
さしみ,"sashimi, sliced raw meat"
はげしい,"violent, intense"
スリッパ,slippers
ふる,"fall, come down"
しめす,"show, indicate"
れきし,history
おどろく,"be surprised, be startled"
つよさ,"strength, power"
ていしゃ,stoppage
き,"tree, wood"
たおれる,"fall over, succumb"
たおす,"bring down, overthrow, defeat"
けいこう,"tendency, disposition"
きゅう,"urgent, dire, pressing"
よろしい,all right
じゅうどう,judo
やわらか,"soft, tender, gentle"
しゅちょう,"insistence, assertion"
テント,tent
ひっぱる,"pull, drag"
きえる,"be extinguished, disappear"
つきあたる,"hit against, come to the end of"
つきあたり,end of a street
もじ,"character, letter"
ぬる,"spread on, paint"
ひく,play on
ちきゅう,the Earth
まるい,round
まる,"circle or sphere, wholeness"
こうげき,"attack, criticism"
しょうぼうしゃ,fire engine
ころす,"kill, smother"
いや,"dislike, have a dislike for"
はいしゃ,dentist
だいきらい,hate
ラッシュアワー,rush hour
にんじん,carrot
アクセサリー,"accessories, jewelry"
おおぜい,"large numbers, a lot of"
すがた,"figure, appearance"
しせい,"posture, attitude"
ゆめ,dream
おそろしい,"terrible, awful"
こわい,"fearful, be afraid"
まご,grandchild
もめん,cotton
えらい,"great, famous, eminent"
つめ,"nail, claw"
おく,"inner part, the back, inner chamber"
つくえ,"desk, table"
はる,"stick, paste"
くみたてる,"build, set up, construct"
たな,"cupboard, shelf, rack"
ほんだな,bookshelf
おれる,"snap, be folded, give in"
もちいる,"use, make use of"
しょうぎょう,"commerce, trade"
ほうしん,"course, policy"
いと,"thread, yarn"
つる,"angle, fish"
おつり,change
あずける,"deposit, entrust"
なくす,"lose, get rid of"
なべ,"pan, saucepan"
うまい,"delicious, tasty"
こぼす,spill
すし,sushi
ゆうはん,"evening meal, supper"
ちゅうしょく,lunch
シャワー,shower
ただ,free
どろぼう,"thief, crook"
わかす,"boil, excite"
やかん,kettle
かわく,"dry, run dry"
せんたくき,washing machine
せんたく,"laundering, washing"
ぬれる,get wet
きっさてん,"coffee shop, tea house, café"
なまける,"be lazy, neglect"
いっしょうけんめい,"for life, with all one's might"
きゅうけい,"rest, repose"
てんじょう,ceiling
なっとう,natto (fermented soybeans)
ちょうしょく,breakfast
まく,"scatter, plant"
けしょう,"make up, put on makeup"
はたけ,"field, vegetable garden"
たく,"cook, boil"
じすい,cooking food for oneself
はいざら,ashtray
はい,ashes
はいいろ,"ash color, gray"
せいれき,"Christian Era, A.D."
のびる,"stretch, grow"
かみ,"hair, hairstyle"
かがみ,mirror
びよういん,beauty shop
くし,comb
とんとん,tapping
した,tongue
くさい,"ill-smelling, stinking"
におい,"smell, odor"
いる,be present
より,"more, further"
はく,"put on footwear, wear"
と,"door, shutter"
せんぷうき,electric fan
ドライブ,drive
ぶた,"pig, pork"
ぶたにく,"pork, hog meat"
にわとり,"chicken, hen"
さす,"stab, prick, sting"
うでどけい,wrist watch
わける,"divide into parts, sort, share"
はんぶん,half
おかし,"sweets, snacks"
おみやげ,souvenir
おじぎ,bow
ねぼう,"late riser, oversleeping"
はた,"flag, banner"
えんぴつ,pencil
まんねんひつ,fountain pen
はこ,"box, case"
セロテープ,"cellophane tape, Scotch tape, Sellotape"
おろす,"bring down, take down, pull down"
ほんばこ,bookcase
ビニール,plastic bag
てぶくろ,gloves
ふくろ,"bag, sack"
おとす,"drop, omit"
ひろう,"pick up, find"
ポケット,pocket
さいふ,"purse, wallet"
やわらかい,soft
もうふ,blanket
おしいれ,closet
ひきだし,"drawer, withdrawal"
なか,"inside, middle"
レシート,receipt
アイスコーヒー,iced coffee
こづつみ,"parcel, package"
つつむ,"wrap, pack"
かざる,"decorate, exhibit"
てちょう,"pocketbook, memo"
でんわちょう,telephone book
ぎゅうにゅう,milk
げんかん,"entrance, door"
ベル,bell
めがね,"glasses, judgment"
かんじゃ,patient
あかちゃん,baby
ねむい,sleepy
ねむる,sleep
おおきさ,"size, dimensions"
ふうとう,envelope
かべ,"wall, partition"
かぎ,"key, lock"
でかける,"go out, be about to go out"
ようじ,"things to do, errand, business"
かかる,"hang, splash, require"
かけざん,multiplication
はくしゅ,"applause, clapping"
トイレ,toilet
そうじ,cleaning
そうじき,vacuum cleaner
にぎる,"grasp, make hand-rolled sushi balls"
あくしゅ,"handshake, handshaking"
むかえる,"welcome, go out to meet, invite"
おまわりさん,policeman
カラー,color
いくつ,"how many, how old"
うつす,"move, shift, transfer"
いつか,"some time, some day"
ちから,"strength, power"
ひはん,"criticism, comment"
じょうだん,joke
さびしい,"lonely, desolate, sad"
ていねい,"polite, courteous, careful"
のち,"after, afterwards"
かわいそう,"poor, pitiable"
じこ,"accident, incident"
けが,injury
ひざ,knee
ひじ,elbow
がまん,"patience, self-restraint"
ようちえん,kindergarten
たいよう,sun
かくれる,"hide, disappear"
ひかげ,the shade
ずいぶん,"extremely, considerably"
いぬ,dog
しけん,"test, examination"
がんばる,"persist, be tenacious"
ころ,time
かつて,"once, formerly"
たいてい,"generally, mostly"
このごろ,"now, these days, recently"
しょうぼうしょ,fire station
たずねる,"inquire, search for"
パーセント,percent
ぜったいに,"absolutely, unconditionally"
かんづめ,"canned goods, cooping-up"
かん,"can, tin"
くさる,"rot, corrode"
とうふ,tofu
ゆか,floor
とこや,"barber, barbershop"
はく,"sweep, brush"
たたみ,"tatami, mat"
たたむ,"fold, shut"
ふとん,"futon, bedquilt"
ほす,"dry, desiccate"
めだつ,"stand out, be conspicuous"
ぼうし,"cap, hat"
かぶる,"wear, put on"
ぜひ,"by all means, at any cost"
けいご,"honorific language, polite speech"
しく,"lay, spread"
うま,horse
かみなり,"thunder, lightning"
れい,"zero, naught"
しまう,put away
おどる,dance
おどり,"dance, dancing"
ふむ,"step on, tread on"
ふみきり,railroad crossing
ける,kick
しょくどう,"dining hall, restaurant"
うむ,have children
ねこ,"cat, feline"
け,"hair, wool"
ぶんしょう,"writing, prose"
ていど,"degree, extent"
は,"tooth, cog"
さんぽ,"walk, stroll"
そんけい,"respect, esteem, honor"
おじいさん,grandfather
おる,"break off, fold, bend"
はやおき,early rising
ふゆやすみ,winter vacation
おばあさん,grandmother
じょうぶ,"healthy, stout"
そふ,grandfather
そぼ,grandmother
けっせき,"absence, nonattendance"
じゃま,disturbing
なおす,"cure, heal"
かぜぐすり,remedy for a cold
わく,"boil, be excited"
ころぶ,"tumble down, fall over"
ふろや,"bathhouse, public bath"
ぬるい,"tepid, lukewarm"
ふろ,bath
ゆ,"hot water, hot bath, bathhouse"
しょうわ,Showa era
むらさき,purple
レモン,lemon
こうちゃ,black tea
つゆ,rainy season
もも,"peach, peach tree"
あう,"meet with, encounter"
まくら,pillow
うそ,lie
おこる,"get angry, scold"
えんりょ,"reserve, hesitation, forethought"
しかる,"scold, tell off, reprimand"
かさ,"umbrella, parasol"
おじょうさん,"young lady, your daughter"
ねんがじょう,New Year's card
にぎやか,"lively, exciting"
か,mosquito
ふく,"wipe, dry"
かいちょう,"president, chairperson"
あいさつ,"greet, greeting"
ともなう,"accompany, go with"
まく,"roll up, wind, wrap"
つく,"arrive, make contact, settle"
ひっこす,"move, change quarters"
おば,aunt
りょうしん,parents
あう,fit
あな,"hole, cavity"
デパート,"department store, department"
くつ,"shoes, boots"
つく,"attach itself to, be connected with, come in contact with"
きにいる,"like, be pleased with"
ぬぐ,"remove clothes, take off"
くつした,"socks, stockings"
いくら,how much
よごれ,"dirt, filth"
ひも,"laces, string, rope"
みがく,"polish, grind"
はみがき,"toothpaste, brushing one's teeth"
ろうか,"hallway, corridor"
ガラス,glass
びん,"bottle, flask"
ほめる,"praise, commend"
がんたん,New Year's Day
いけ,pond
そで,sleeve
ながそで,clothes with long sleeves
はんそで,short-sleeved shirt
ばか,"fool, nonsense"
すごい,"wonderful, great, incredible"
そる,shave
ひどい,"cruel, severe"
けんか,"fight, quarrel, argument"
からから,"thirsty, dry"
たたく,"tap, hit"
かむ,"bite, chew"
たす,"add, supplement"
みそしる,miso soup
めい,niece
いちご,strawberry
なす,eggplant
あう,meet
いす,chair
かたち,"shape, form"
やせる,"lose weight, become thin"
はし,chopsticks
のり,"glue, starch"
しょうゆ,soy sauce
はさみ,"scissors, pincers, tongs"
かばん,"bag, handbag, briefcase"
あご,"jaw, chin"
あめ,"candy, sweets"
せっけん,soap
なるほど,"I see, really"
ヒント,"hint, clue"
おやつ,"snack, refreshment"
いまに,"before long, someday"
バイト,part-time job
もうけ,"profits, earnings"
わざわざ,go to a lot of trouble
やってくる,"come, turn up"
せっかく,"with much trouble, specially"
ばからしい,"stupid, useless"
ダム,dam
ボリューム,volume
だい,"bigness, large size"
ずるい,"cunning, sneaky"
ずうずうしい,"cheeky, impudent"
おとな,adult
メンバー,member
なんて,"what, how"
よす,"quit, stop"
コンクリート,concrete
たいきん,large sum of money
ボーナス,bonus
ひので,sunrise
はずれる,come off
はずれ,blank
ほんじつ,today
ひとやすみ,rest
なぜか,for some reason
つぶる,close
ぞんざい,"rough, rude"
しびれる,"become numb, get pins and needles"
たこ,octopus
ビタミン,vitamin
つまずく,"stumble, trip"
つぼみ,bud
うろうろ,wander
じょし,"woman, girl"
あんまり,"(not) that much, (not) so much"
ジョギング,jogging
えび,"lobster, shrimp"
コンサート,concert
ビーチ,beach
できあがる,"be completed, be finished"
カーブ,"curve, bend"
スタート,"start, begin"
どうやら,"seems, looks like"
にわかに,rapidly
さくじつ,yesterday
ひとりでに,"automatically, by oneself"
ほんにん,"the person himself, the said person"
メロディー,melody
ママ,"mommy, mummy"
やすっぽい,"cheap, tacky"
きぶん,"feeling, mood"
あき,"gap, vacancy"
ひのいり,sunset
はんとし,half a year
はれる,"swell, swell up"
あける,to dawn
いつのまにか,before it is noticed
よ,"night, evening"
たなばた,"Tanabata Festival, Star Festival"
がいしょく,"eating out, dining out"
おにぎり,rice ball
よそ,somewhere else
ちゃんと,"regularly, properly"
デザート,dessert
とんかつ,pork cutlet
めし,"cooked rice, meal"
コーナー,corner
バーゲン,bargain sale
たんす,"chest of drawers, wardrobe"
あまのがわ,Milky Way
じろじろ,stare
ようやく,"at last, at length"
ぜんぽう,front
みあげる,look up
よぞら,night sky
はなび,"fireworks, firecrackers"
みほん,"sample, model"
みかづき,"new moon, crescent moon"
みはらし,"view, outlook"
よる,be caused by
あっさり,"plainly, matter-of-factly"
うるさい,"noisy, bothersome"
いまごろ,about this time
シリーズ,series
つながり,"connection, relation"
かんご,Chinese-character compounds
あとがき,"postscript, afterword"
みおぼえ,"recognition, remembrance"
めざまし,waking up
はなしあい,"talk, discussion"
どうせ,anyway
まにあわせる,make do
しゅうきゅう,weekend
みちる,"be filled, expire"
まんいん,full to capacity
まんげつ,full moon
いったい,"what on earth, what the…"
こと,"thing, incident"
サボる,"blow off, play truant"
とんでもない,"unthinkable, outrageous"
しゅつじょう,participation
コンクール,"contest, competition"
きょろきょろ,look around
さいちゅう,"in the middle of, during"
つながる,"connect, join"
ガソリン,gasoline
ハンドル,steering wheel
バック,back
ナンバー,number
ひく,run over
およそ,just about
まぜる,include
おっしゃる,say
きゃくま,"guest room, parlor"
みとおし,"perspective, prospect"
げすい,"sewerage, drainage"
つうこう,"passage, traffic"
たまたま,"by chance, accidentally"
でこぼこ,"unevenness, bumpiness"
とうざい,east and west
ちかどう,"underpass, underground passage"
ちか,underground
いきどまり,dead end
やがて,"soon, before long"
ふざける,"mess around, fool around"
つうこうどめ,road closed
くたびれる,"get tired, be worn out"
くたくた,exhausted
ちじょう,above ground
のろのろ,"slowly, easy"
にどと,never again
もしかすると,"possibly, perhaps"
まいど,"every time, always"
ハード,hard
ちかみち,shortcut
てあし,"hands and feet, limbs"
じょうたつ,"progress, proficiency"
しほう,"all directions, far and wide"
なんぼく,north and south
ぜんりょく,"all one's might, full capacity"
アルファベット,alphabet
しゅっこく,"departure, emigration"
こくど,"country, territory"
こくご,"national language, Japanese"
こっこう,"diplomatic relations, national friendship"
つうじる,"pass, communicate with"
まじわる,cross
よのなか,"the world, society"
さいしょう,"the smallest, minimum"
つなぐ,"connect, join"
パンティー,panties
くろじ,"the black, surplus"
あかじ,"deficit, in the red"
ゆでる,boil
おまけ,free gift
あき,"vacancy, free time"
ムード,mood
ほこり,dust
まつ,"last part, end"
てま,"trouble, time"
けんかい,"opinion, view"
りかい,"understanding, comprehension"
ありのまま,"as it is, unchanged"
ゆうりょう,"fee-charging, pay"
むり,impossibility
なにより,"above all, before everything else"
むちゃ,"reckless, excessive"
つくりばなし,"fable, fiction"
でんりょく,"electric power, electricity"
はかり,scales
シューズ,"shoes, sports shoes"
しよう,"private business, private use"
よう,things to do
かいひ,"fee, membership fee"
しょくひ,"food expenses, board"
しょうひ,"consumption, spending"
しょうか,fire fighting
うっかり,"carelessly, accidentally"
かいてん,"opening of a store, setting up"
やすうり,sale
へいてん,shop closing
ほんてん,head office
しょうてん,"shop, store"
しょくひん,"food, foodstuff"
じょうひん,"elegance, refinement"
こうりてん,"retail store, outlet"
できあがり,"completion, finish"
よ,"world, public,"
だん,"step, grade"
ねあがり,price rise
ねさがり,fall in price
ねさげ,price reduction
かち,"value, merit"
ダイヤモンド,diamond
かっこう,"shape, appearance"
だらしない,"slovenly, untidy"
うきうき,feel excited
うがい,gargling
さむけ,chill
こたつ,"kotatsu, heated table with a coverlet"
あたたか,"warm, warmhearted"
ぽかぽか,pleasantly warm
マイナス,"minus, below zero"
たいおん,body temperature
ぴたりと,suddenly
ほうどう,"news, report"
マネー,"money, finance"
こうこく,"public notice, advertisement"
うりだす,put on sale
しんぶんしゃ,newspaper office
しょてん,bookstore
ひろげる,"spread, unfold"
ぴかぴか,"new, shiny"
ちゅうこ,secondhand goods
きかす,"tell, read aloud"
ディスコ,disco
のみみず,drinking water
うち,inside
ようじん,"care, caution"
ふと,"suddenly, unexpectedly"
つくづく,"truly, deeply"
いつまでも,forever
ぼうねんかい,year-end party
かみ,"superiors, people in authority"
つかいみち,"use, application"
けっして,"never, by no means"
けっしん,"determination, resolve"
しりあう,get acquainted with
しれる,"become known, be found out"
しらせ,"information, notice"
ウサギ,"rabbit, hare"
ことわざ,"proverb, common saying"
なさけない,"pitiful, shameful"
ちのう,"intelligence, mental capacity"
のう,noh play
ふそく,"insufficiency, lack"
ふかのう,impossible
こうつう,"traffic, transportation"
しょうべん,"urine, pee"
てまえ,in front
えきまえ,in front of the station
おおや,landlord
ねずみ,"rat, mouse"
じんめい,"personal name, name"
こくめい,country name
まぢか,"nearby, close at hand"
ちめい,place name
らいにち,coming to Japan
かっと,cut
ほくとう,northeast
にんじょう,"human feelings, humanity"
く,ward
すまい,"dwelling, residence"
あわせる,"adjust, match"
ひがえり,a day trip
みやこ,"capital, city"
いらっしゃる,"come, go"
めかた,weight
すっかり,"all, completely"
セット,set
しゃない,inside a vehicle
ぶっか,prices
むりょう,"no charge, free"
ほんもの,"real thing, genuine article"
ロッカー,locker
めいぶつ,"specialty, noted product"
にちようひん,"groceries, daily necessities"
チキン,"chicken, fried chicken"
かさねる,"pile up, repeat"
ちぎれる,"be torn off, come off"
じゅうりょう,weight
たいりょう,"large quantity, great volume"
あす,tomorrow
むよう,"useless, unnecessary"
さいじょう,"best, highest"
とりきめ,"decision, agreement"
コード,cord
おちゅうげん,"mid-year gift, summer gift"
プラットホーム,platform
まちあわせ,"waiting, rendez-vous"
ながらく,for a long time
あきかぜ,autumn breeze
とも,"friend, companion"
もちもの,"one's property, one's baggage"
ながもち,"endurance, lasting long"
うちあわせ,"meeting, arrangement"
ワープロ,word processor
うけもつ,have charge of
ながいき,"long life, longevity"
せいのう,"performance, capacity"
こくさん,domestically produced
さんち,production center
かつじ,printed type
ゆとり,"room, leeway"
じっと,"without moving, still"
とほ,"walking, going on foot"
きっかけ,"chance, opportunity"
きゅうがく,"leave of absence, absence"
まじわる,"associate with, socialize"
